"daily"
Date,Crop,Stage,AbBiom,OrgBiom/Leaf,OrgBiom/Fruit,Yield,LAI,Precip,Mois_1,Mois_2,Mois_3,Mois_1,Mois_2,Mois_3,SOC_1,SOC_2,SOC_3,Tavg,Globrad
2011-02-20,,0,0,0,0,0,0,0,0.562,0.3,0.3,0.562,0.3,0.3,0.0507,0.0507,0.0507,-21.655,9.5636
2011-02-21,,0,0,0,0,0,0,0.1166,0.562,0.3,0.3,0.562,0.3,0.3,0.0507,0.0507,0.0507,-20.7479,8.7933
2011-02-22,,0,0,0,0,0,0,0,0.562,0.3,0.3,0.562,0.3,0.3,0.0507,0.0507,0.0507,-19.5733,7.0575
2011-02-23,,0,0,0,0,0,0,0,0.562,0.3,0.3,0.562,0.3,0.3,0.0507,0.0507,0.0507,-18.3033,8.6144
2011-02-24,,0,0,0,0,0,0,0,0.562,0.3,0.3,0.562,0.3,0.3,0.0507,0.0507,0.0507,-16.2946,7.0038
2011-02-25,,0,0,0,0,0,0,0,0.562,0.3,0.3,0.562,0.3,0.3,0.0507,0.0507,0.0507,-16.4733,10.727
2011-02-26,,0,0,0,0,0,0,0,0.562,0.3,0.3,0.562,0.3,0.3,0.0507,0.0507,0.0507,-16.8796,10.888
2011-02-27,,0,0,0,0,0,0,0,0.562,0.3,0.3,0.562,0.3,0.3,0.0507,0.0507,0.0507,-14.6446,11.2234
2011-02-28,,0,0,0,0,0,0,0,0.562,0.3,0.3,0.562,0.3,0.3,0.0507,0.0507,0.0507,-15.4771,11.8556
2011-03-01,,0,0,0,0,0,0,0,0.562,0.3,0.3,0.562,0.3,0.3,0.0507,0.0507,0.0507,-15.6188,11.8888
2011-03-02,,0,0,0,0,0,0,0,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-16.8379,12.0904
2011-03-03,,0,0,0,0,0,0,0.5617,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-10.5342,7.0193
2011-03-04,,0,0,0,0,0,0,0.3971,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-5.4588,8.5693
2011-03-05,,0,0,0,0,0,0,1.1214,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-2.8113,4.0368
2011-03-06,,0,0,0,0,0,0,0.6893,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-3.0679,11.2817
2011-03-07,,0,0,0,0,0,0,0.46,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-6.5492,11.0439
2011-03-08,,0,0,0,0,0,0,0,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-8.6938,12.5648
2011-03-09,,0,0,0,0,0,0,0,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-9.4492,13.7207
2011-03-10,,0,0,0,0,0,0,0,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-10.1288,14.0392
2011-03-11,,0,0,0,0,0,0,0,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-10.3433,12.3327
2011-03-12,,0,0,0,0,0,0,1.8775,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-5.4771,8.3558
2011-03-13,,0,0,0,0,0,0,0,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,0.5946,13.1263
2011-03-14,,0,0,0,0,0,0,0,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,2.8196,10.9701
2011-03-15,,0,0,0,0,0,0,0.6876,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,3.0067,9.8532
2011-03-16,,0,0,0,0,0,0,0.3007,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-0.7583,14.0906
2011-03-17,,0,0,0,0,0,0,0.8615,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-2.8371,11.436
2011-03-18,,0,0,0,0,0,0,0.4546,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-3.7983,12.8825
2011-03-19,,0,0,0,0,0,0,0,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-2.4883,12.6993
2011-03-20,,0,0,0,0,0,0,0.3857,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-1.9338,12.5314
2011-03-21,,0,0,0,0,0,0,0.6176,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-1.0171,9.2423
2011-03-22,,0,0,0,0,0,0,0.1552,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,-0.59,14.3391
2011-03-23,,0,0,0,0,0,0,0.6169,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,2.1579,5.2993
2011-03-24,,0,0,0,0,0,0,0.7464,0.563,0.3,0.3,0.563,0.3,0.3,0.0507,0.0507,0.0507,0.2788,10.9721
2011-03-25,,0,0,0,0,0,0,0,0.564,0.3,0.3,0.564,0.3,0.3,0.0507,0.0507,0.0507,-1.5821,16.3761
2011-03-26,,0,0,0,0,0,0,1.7338,0.564,0.3,0.3,0.564,0.3,0.3,0.0507,0.0507,0.0507,-4.4283,7.4559
2011-03-27,,0,0,0,0,0,0,0,0.564,0.3,0.3,0.564,0.3,0.3,0.0507,0.0507,0.0507,-4.8713,17.5658
2011-03-28,,0,0,0,0,0,0,0,0.564,0.3,0.3,0.564,0.3,0.3,0.0507,0.0507,0.0507,-2.0642,18.2794
2011-03-29,,0,0,0,0,0,0,1.1616,0.564,0.3,0.3,0.564,0.3,0.3,0.0507,0.0507,0.0507,0.3304,9.4311
2011-03-30,,0,0,0,0,0,0,0.4812,0.564,0.3,0.3,0.564,0.3,0.3,0.0507,0.0507,0.0507,2.6729,14.1953
2011-03-31,,0,0,0,0,0,0,0,0.564,0.3,0.3,0.564,0.3,0.3,0.0507,0.0507,0.0507,1.28,19.059
2011-04-01,,0,0,0,0,0,0,0.4043,0.564,0.3,0.3,0.564,0.3,0.3,0.0507,0.0507,0.0506,-1.8363,18.7832
2011-04-02,,0,0,0,0,0,0,0.8663,0.564,0.3,0.3,0.564,0.3,0.3,0.0507,0.0507,0.0506,1.9617,17.3671
2011-04-03,,0,0,0,0,0,0,0,0.564,0.3,0.3,0.564,0.3,0.3,0.0507,0.0507,0.0506,2.8038,19.1571
2011-04-04,,0,0,0,0,0,0,0,0.564,0.3,0.3,0.564,0.3,0.3,0.0507,0.0507,0.0506,3.3479,19.2404
2011-04-05,,0,0,0,0,0,0,0.767,0.564,0.3,0.3,0.564,0.3,0.3,0.0507,0.0507,0.0506,4.6833,18.6626
2011-04-06,,0,0,0,0,0,0,2.6408,0.564,0.3,0.3,0.564,0.3,0.3,0.0507,0.0507,0.0506,3.6763,6.3679
2011-04-07,,0,0,0,0,0,0,1.4468,0.453,0.324,0.322,0.453,0.324,0.322,0.0507,0.0507,0.0506,5.5279,12.5939
2011-04-08,,0,0,0,0,0,0,10.0983,0.42,0.325,0.325,0.42,0.325,0.325,0.0507,0.0507,0.0506,5.7192,1.5283
2011-04-09,,0,0,0,0,0,0,5.7951,0.359,0.325,0.323,0.359,0.325,0.323,0.0507,0.0507,0.0506,3.4454,10.5621
2011-04-10,,0,0,0,0,0,0,2.7702,0.301,0.318,0.321,0.301,0.318,0.321,0.0507,0.0507,0.0506,2.8054,13.638
2011-04-11,,0,0,0,0,0,0,2.8873,0.298,0.312,0.316,0.298,0.312,0.316,0.0507,0.0507,0.0506,3.2571,12.7101
2011-04-12,,0,0,0,0,0,0,0.8521,0.291,0.306,0.311,0.291,0.306,0.311,0.0507,0.0507,0.0506,3.6775,14.919
2011-04-13,,0,0,0,0,0,0,0.5783,0.277,0.301,0.307,0.277,0.301,0.307,0.0507,0.0507,0.0506,5.2629,15.6353
2011-04-14,,0,0,0,0,0,0,2.1044,0.284,0.298,0.304,0.284,0.298,0.304,0.0507,0.0507,0.0506,3.9313,5.1279
2011-04-15,,0,0,0,0,0,0,0,0.265,0.293,0.302,0.265,0.293,0.302,0.0507,0.0507,0.0506,3.8783,19.7656
2011-04-16,,0,0,0,0,0,0,0.8238,0.256,0.29,0.3,0.256,0.29,0.3,0.0507,0.0507,0.0506,4.1542,10.3556
2011-04-17,,0,0,0,0,0,0,0.1893,0.236,0.285,0.298,0.236,0.285,0.298,0.0507,0.0507,0.0506,6.0658,13.6272
2011-04-18,,0,0,0,0,0,0,0,0.205,0.278,0.295,0.205,0.278,0.295,0.0507,0.0507,0.0506,10.6688,19.3488
2011-04-19,,0,0,0,0,0,0,0,0.178,0.272,0.292,0.178,0.272,0.292,0.0507,0.0507,0.0506,7.2242,21.3988
2011-04-20,,0,0,0,0,0,0,0.7046,0.166,0.267,0.29,0.166,0.267,0.29,0.0507,0.0507,0.0506,3.3408,19.47
2011-04-21,,0,0,0,0,0,0,0.3968,0.151,0.263,0.288,0.151,0.263,0.288,0.0507,0.0507,0.0506,4.3525,16.8863
2011-04-22,,0,0,0,0,0,0,0,0.127,0.257,0.286,0.127,0.257,0.286,0.0507,0.0507,0.0506,8.4117,21.3887
2011-04-23,,0,0,0,0,0,0,0,0.113,0.253,0.284,0.113,0.253,0.284,0.0507,0.0507,0.0506,11.3517,19.7956
2011-04-24,,0,0,0,0,0,0,0.0896,0.102,0.248,0.282,0.102,0.248,0.282,0.0507,0.0507,0.0506,12.0233,19.3002
2011-04-25,,0,0,0,0,0,0,0,0.097,0.241,0.279,0.097,0.241,0.279,0.0507,0.0507,0.0506,13.9642,22.9194
2011-04-26,,0,0,0,0,0,0,0.0598,0.096,0.235,0.276,0.096,0.235,0.276,0.0507,0.0507,0.0506,14.2846,19.0868
2011-04-27,,0,0,0,0,0,0,0.972,0.105,0.229,0.274,0.105,0.229,0.274,0.0507,0.0507,0.0506,14.4929,18.6684
2011-04-28,,0,0,0,0,0,0,1.4119,0.112,0.224,0.271,0.112,0.224,0.271,0.0507,0.0507,0.0506,14.8067,19.2568
2011-04-29,,0,0,0,0,0,0,0.3421,0.105,0.219,0.269,0.105,0.219,0.269,0.0507,0.0507,0.0506,14.4775,19.5392
2011-04-30,,0,0,0,0,0,0,0.6988,0.104,0.213,0.266,0.104,0.213,0.266,0.0507,0.0507,0.0506,13.4475,15.4876
2011-05-01,,0,0,0,0,0,0,0.2317,0.101,0.209,0.265,0.101,0.209,0.265,0.0507,0.0507,0.0506,12.9417,18.1825
2011-05-02,sugar beet/,1,10,10,0,0,0.009,0.1649,0.101,0.206,0.263,0.101,0.206,0.263,0.0507,0.0507,0.0506,15.04,18.2088
2011-05-03,sugar beet/,1,10,10,0,0,0.009,0,0.099,0.203,0.262,0.099,0.203,0.262,0.0507,0.0506,0.0506,16.28,20.8853
2011-05-04,sugar beet/,1,10,10,0,0,0.009,0,0.099,0.2,0.26,0.099,0.2,0.26,0.0507,0.0506,0.0506,17.23,19.9122
2011-05-05,sugar beet/,1,10,10,0,0,0.009,2.3754,0.122,0.196,0.259,0.122,0.196,0.259,0.0507,0.0506,0.0506,18.1896,18.594
2011-05-06,sugar beet/,1,10,10,0,0,0.009,1.9488,0.131,0.193,0.258,0.131,0.193,0.258,0.0507,0.0506,0.0506,17.0658,14.1513
2011-05-07,sugar beet/,1,10,10,0,0,0.009,11.5932,0.231,0.193,0.256,0.231,0.193,0.256,0.0507,0.0506,0.0506,15.4875,3.2128
2011-05-08,sugar beet/,1,10,10,0,0,0.009,0,0.212,0.193,0.254,0.212,0.193,0.254,0.0507,0.0506,0.0506,15.6704,24.2611
2011-05-09,sugar beet/,1,10,10,0,0,0.009,0,0.195,0.192,0.252,0.195,0.192,0.252,0.0507,0.0506,0.0506,15.2825,20.5059
2011-05-10,sugar beet/,1,10,10,0,0,0.009,2.0084,0.202,0.192,0.251,0.202,0.192,0.251,0.0507,0.0506,0.0506,11.3983,5.5273
2011-05-11,sugar beet/,1,10,10,0,0,0.009,0.1596,0.188,0.188,0.249,0.188,0.188,0.249,0.0507,0.0506,0.0506,14.6383,20.177
2011-05-12,sugar beet/,1,10,10,0,0,0.009,0,0.173,0.185,0.248,0.173,0.185,0.248,0.0507,0.0506,0.0506,15.8742,24.7266
2011-05-13,sugar beet/,1,10,10,0,0,0.009,0,0.158,0.182,0.247,0.158,0.182,0.247,0.0507,0.0506,0.0506,16.1504,21.1139
2011-05-14,sugar beet/,1,10,10,0,0,0.009,6.0216,0.203,0.181,0.245,0.203,0.181,0.245,0.0507,0.0506,0.0506,14.9688,18.8376
2011-05-15,sugar beet/,1,10,10,0,0,0.009,3.6773,0.227,0.181,0.244,0.227,0.181,0.244,0.0507,0.0506,0.0506,13.51,18.0878
2011-05-16,sugar beet/,1,10,10,0,0,0.009,0.7038,0.222,0.181,0.243,0.222,0.181,0.243,0.0507,0.0506,0.0506,11.8825,17.7142
2011-05-17,sugar beet/,2,11.6,11,0,0,0.009,1.0319,0.221,0.181,0.242,0.221,0.181,0.242,0.0507,0.0506,0.0506,14.6063,21.6331
2011-05-18,sugar beet/,2,13.6,12.2,0,0,0.0099,0,0.207,0.18,0.24,0.207,0.18,0.24,0.0507,0.0506,0.0506,16.7496,24.6255
2011-05-19,sugar beet/,2,15.6,13.4,0,0,0.011,0.1504,0.196,0.18,0.239,0.196,0.18,0.239,0.0507,0.0506,0.0506,17.1675,20.1819
2011-05-20,sugar beet/,2,17.6,14.5,0,0,0.0121,0,0.183,0.18,0.238,0.183,0.18,0.238,0.0507,0.0506,0.0506,17.7888,16.8894
2011-05-21,sugar beet/,2,20.4,16.1,0,0,0.0131,0,0.168,0.177,0.236,0.168,0.177,0.236,0.0507,0.0506,0.0506,18.9438,21.5104
2011-05-22,sugar beet/,2,23.5,17.9,0.1,0.1,0.0146,1.2209,0.164,0.173,0.235,0.164,0.173,0.235,0.0507,0.0506,0.0506,19.8829,20.6968
2011-05-23,sugar beet/,2,26.8,19.7,0.1,0.1,0.0162,0.1127,0.148,0.169,0.233,0.148,0.169,0.233,0.0507,0.0506,0.0506,20.6433,23.2176
2011-05-24,sugar beet/,2,30,21.5,0.2,0.2,0.018,1.0139,0.139,0.165,0.231,0.139,0.165,0.231,0.0507,0.0506,0.0506,19.4738,22.4504
2011-05-25,sugar beet/,2,35.6,24.6,0.2,0.2,0.0197,2.0719,0.14,0.16,0.229,0.14,0.16,0.229,0.0507,0.0506,0.0506,17.7546,26.7557
2011-05-26,sugar beet/,2,41.3,27.7,0.3,0.3,0.0225,1.6744,0.138,0.156,0.226,0.138,0.156,0.226,0.0507,0.0506,0.0506,14.2229,24.3689
2011-05-27,sugar beet/,2,48.2,31.4,0.4,0.4,0.0255,0,0.117,0.151,0.224,0.117,0.151,0.224,0.0507,0.0506,0.0506,14.1233,26.0881
2011-05-28,sugar beet/,2,57.2,36.2,0.6,0.6,0.029,0,0.101,0.146,0.221,0.101,0.146,0.221,0.0507,0.0506,0.0506,17.4733,27.3966
2011-05-29,sugar beet/,2,68.3,42,0.8,0.8,0.0337,0,0.098,0.141,0.218,0.098,0.141,0.218,0.0507,0.0506,0.0506,19.6863,27.3818
2011-05-30,sugar beet/,2,81.7,49.1,1,1,0.0393,0,0.097,0.135,0.215,0.097,0.135,0.215,0.0507,0.0506,0.0506,21.2046,27.4228
2011-05-31,sugar beet/,2,97.7,57.4,1.3,1.3,0.0462,0,0.095,0.129,0.212,0.095,0.129,0.212,0.0507,0.0506,0.0506,22.0013,26.5702
2011-06-01,sugar beet/,2,116.8,67.2,1.8,1.8,0.0543,0,0.094,0.123,0.209,0.094,0.123,0.209,0.0507,0.0506,0.0506,22.1925,26.2727
2011-06-02,sugar beet/,2,141,79.5,2.3,2.3,0.064,0,0.092,0.118,0.205,0.092,0.118,0.205,0.0507,0.0506,0.0506,20.8504,27.8206
2011-06-03,sugar beet/,2,166.8,92.6,2.9,2.9,0.0762,0,0.091,0.114,0.202,0.091,0.114,0.202,0.0507,0.0506,0.0506,21.1963,23.6485
2011-06-04,sugar beet/,2,200.4,109.5,3.7,3.7,0.0892,0,0.089,0.11,0.198,0.089,0.11,0.198,0.0507,0.0506,0.0506,17.9579,27.1823
2011-06-05,sugar beet/,3,242.3,130.4,4.9,4.9,0.1061,0,0.088,0.106,0.194,0.088,0.106,0.194,0.0507,0.0506,0.0506,18.7279,28.0024
2011-06-06,sugar beet/,3,290.6,154.4,7.6,7.6,0.127,0,0.086,0.103,0.189,0.086,0.103,0.189,0.0507,0.0506,0.0506,20.2296,27.0611
2011-06-07,sugar beet/,3,347.9,182.7,12,12,0.151,0,0.085,0.102,0.186,0.085,0.102,0.186,0.0507,0.0506,0.0506,17.8721,28.5387
2011-06-08,sugar beet/,3,413.1,214.8,18.7,18.7,0.1793,0,0.084,0.101,0.182,0.084,0.101,0.182,0.0507,0.0506,0.0506,17.7646,27.967
2011-06-09,sugar beet/,3,469.7,242.5,25.8,25.8,0.2114,0,0.083,0.1,0.179,0.083,0.1,0.179,0.0507,0.0506,0.0506,17.8396,19.6216
2011-06-10,sugar beet/,3,533,273.3,35.4,35.4,0.2391,5.0237,0.132,0.1,0.177,0.132,0.1,0.177,0.0507,0.0506,0.0506,17.3004,20.0717
2011-06-11,sugar beet/,3,608.3,309.7,49,49,0.2699,2.8332,0.136,0.1,0.174,0.136,0.1,0.174,0.0507,0.0506,0.0506,19.0904,21.6779
2011-06-12,sugar beet/,3,688.1,348,65.8,65.8,0.3063,2.1273,0.134,0.1,0.172,0.134,0.1,0.172,0.0507,0.0506,0.0506,19.8171,20.5265
2011-06-13,sugar beet/,3,789,396.2,90,90,0.3446,0,0.108,0.1,0.169,0.108,0.1,0.169,0.0507,0.0506,0.0506,18.8967,24.7197
2011-06-14,sugar beet/,3,879.8,439.2,114.8,114.8,0.3928,5.9521,0.158,0.1,0.166,0.158,0.1,0.166,0.0507,0.0506,0.0506,18.9642,19.421
2011-06-15,sugar beet/,3,998.5,495.1,151.1,151.1,0.4358,0.6373,0.14,0.1,0.163,0.14,0.1,0.163,0.0507,0.0506,0.0506,19.7967,24.3928
2011-06-16,sugar beet/,3,1113.5,548.7,190.4,190.4,0.4917,2.0849,0.137,0.1,0.161,0.137,0.1,0.161,0.0507,0.0506,0.0506,19.4633,21.2206
2011-06-17,sugar beet/,3,1248.1,611,241.3,241.3,0.5453,0.1391,0.114,0.1,0.159,0.114,0.1,0.159,0.0507,0.0506,0.0506,19.4175,23.6741
2011-06-18,sugar beet/,3,1397,679.3,303.4,303.4,0.6076,0,0.101,0.1,0.156,0.101,0.1,0.156,0.0507,0.0506,0.0506,20.0992,24.5276
2011-06-19,sugar beet/,3,1553.8,750.4,376.5,376.5,0.6759,1.4172,0.11,0.1,0.153,0.11,0.1,0.153,0.0507,0.0506,0.0506,23.6333,24.2914
2011-06-20,sugar beet/,3,1704.6,818,454.3,454.3,0.747,1.1354,0.108,0.1,0.151,0.108,0.1,0.151,0.0507,0.0506,0.0506,23.0525,21.8756
2011-06-21,sugar beet/,3,1850.7,882.8,535.7,535.7,0.8146,1.8072,0.117,0.1,0.149,0.117,0.1,0.149,0.0507,0.0506,0.0506,18.1371,20.4037
2011-06-22,sugar beet/,3,2009.5,952.6,630.9,630.9,0.8794,3.6944,0.138,0.1,0.147,0.138,0.1,0.147,0.0507,0.0506,0.0506,18.0654,21.6554
2011-06-23,sugar beet/,3,2197.2,1034.1,752.6,752.6,0.9492,0,0.112,0.1,0.145,0.112,0.1,0.145,0.0507,0.0506,0.0506,19.4542,25.0278
2011-06-24,sugar beet/,3,2346.7,1098.2,857.6,857.6,1.0307,0.0504,0.104,0.1,0.143,0.104,0.1,0.143,0.0507,0.0506,0.0506,20.6112,18.4401
